gutenberg_id,short_title,gutenberg_title,year,author,section,class,line_number,text
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,The Project Gutenberg eBook of The Prince
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,    
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,This ebook is for the use of anyone anywhere in the United States and
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,most other parts of the world at no cost and with almost no restrictions
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,"whatsoever. You may copy it, give it away or re-use it under the terms"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,of the Project Gutenberg License included with this ebook or online
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,"at www.gutenberg.org. If you are not located in the United States,"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,you will have to check the laws of the country where you are located
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,before using this eBook.
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Title: The Prince
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Author: Niccolò Machiavelli
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Translator: W. K. Marriott
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,"Release date: February 11, 2006 [eBook #1232]"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,"                Most recently updated: October 29, 2024"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Language: English
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,"Credits: John Bickers, David Widger and Others"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA,*** START OF THE PROJECT GUTENBERG EBOOK THE PRINCE ***
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,The Prince
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,by Nicolo Machiavelli
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Translated by W. K. Marriott
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,content,NA,Contents
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, INTRODUCTION
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, YOUTH Æt. 1-25—1469-94
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, OFFICE Æt. 25-43—1494-1512
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, LITERATURE AND DEATH Æt. 43-58—1512-27
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, THE MAN AND HIS WORKS
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, DEDICATION
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, THE PRINCE
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA," CHAPTER I. HOW MANY KINDS OF PRINCIPALITIES THERE ARE, AND BY WHAT MEANS THEY ARE ACQUIRED"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER II. CONCERNING HEREDITARY PRINCIPALITIES
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER III. CONCERNING MIXED PRINCIPALITIES
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA," CHAPTER IV. WHY THE KINGDOM OF DARIUS, CONQUERED BY ALEXANDER, DID NOT REBEL AGAINST THE SUCCESSORS OF ALEXANDER AT HIS DEATH"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER V. CONCERNING THE WAY TO GOVERN CITIES OR PRINCIPALITIES WHICH LIVED UNDER THEIR OWN LAWS BEFORE THEY WERE ANNEXED
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER VI. CONCERNING NEW PRINCIPALITIES WHICH ARE ACQUIRED BY ONE’S OWN ARMS AND ABILITY
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER VII. CONCERNING NEW PRINCIPALITIES WHICH ARE ACQUIRED EITHER BY THE ARMS OF OTHERS OR BY GOOD FORTUNE
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER VIII. CONCERNING THOSE WHO HAVE OBTAINED A PRINCIPALITY BY WICKEDNESS
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER IX. CONCERNING A CIVIL PRINCIPALITY
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER X. CONCERNING THE WAY IN WHICH THE STRENGTH OF ALL PRINCIPALITIES OUGHT TO BE MEASURED
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER XI. CONCERNING ECCLESIASTICAL PRINCIPALITIES
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER XII. HOW MANY KINDS OF SOLDIERY THERE ARE AND CONCERNING MERCENARIES
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA," CHAPTER XIII. CONCERNING AUXILIARIES, MIXED SOLDIERY, AND ONE’S OWN"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER XIV. THAT WHICH CONCERNS A PRINCE ON THE SUBJECT OF WAR
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA," CHAPTER XV. CONCERNING THINGS FOR WHICH MEN, AND ESPECIALLY PRINCES, ARE PRAISED OR BLAMED"
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA, CHAPTER XVI. CONCERNING LIBERALITY AND MEANNESS
1232,The Prince,The Prince,1532,Niccolò Machiavelli,front_matter,reference,NA," CHAPTER XVII. CONCERNING CRUELTY AND CLEMENCY, AND WHETHER IT IS BETTER TO BE LOVED THAN FEARED"
