"gutenberg_id","title","year","author","section","series","section_id","class","poem_id","poem_number","line_number","text"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"POEMS"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"by EMILY DICKINSON"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"Edited by two of her friends"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"MABEL LOOMIS TODD and T.W. HIGGINSON"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"PREFACE."
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"The verses of Emily Dickinson belong emphatically to what Emerson"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"long since called ""the Poetry of the Portfolio,""--something produced"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"absolutely without the thought of publication, and solely by way of"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"expression of the writer's own mind. Such verse must inevitably"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"forfeit whatever advantage lies in the discipline of public criticism"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"and the enforced conformity to accepted ways. On the other hand, it"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"may often gain something through the habit of freedom and the"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"unconventional utterance of daring thoughts. In the case of the"
12242,"Poems by Emily Dickinson",1890,"Emily Dickinson","front_matter",NA,NA,NA,NA,NA,NA,"present author, there was absolutely no choice in the matter; she"
